lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,240880.4278195473,5156802.15281981,9.0,240880.02609606745,5156793.161789933,0.0446359422050587,0.9990033196458692,0.0,6610.0
217.0,240890.41746733277,5156801.706477601,9.0,240890.0157438525,5156792.715447724,0.04463594225048301,0.9990033196438396,0.0,6620.0
217.0,240900.4071151183,5156801.260135392,9.0,240900.00539163843,5156792.2691055145,0.0446359422050587,0.9990033196458692,0.0,6630.0
217.0,240910.3967629033,5156800.8137931805,9.0,240909.99503942346,5156791.822763303,0.0446359422050587,0.9990033196458692,0.0,6640.0
217.0,240920.38641067853,5156800.367450976,9.0,240919.98468710628,5156791.376421103,0.044635952473716975,0.9990033191870606,0.0,6650.0
217.0,240930.3760584743,5156799.921108771,9.0,240929.97433499445,5156790.930078894,0.0446359422050587,0.9990033196458692,0.0,6660.0
217.0,240940.3657062593,5156799.474766562,9.0,240939.96398277947,5156790.483736685,0.04463594220376103,0.9990033196459271,0.0,6670.0
217.0,240950.35535404476,5156799.028424351,9.0,240949.95363056453,5156790.037394473,0.044635942249185115,0.9990033196438975,0.0,6680.0
217.0,240960.3450018303,5156798.582082141,9.0,240959.94327835046,5156789.591052264,0.0446359422050587,0.9990033196458692,0.0,6690.0
217.0,240970.3346496162,5156798.13573993,9.0,240969.93292614474,5156789.144710053,0.04463594127555586,0.9990033196873997,0.0,6700.0
217.0,240980.32429740072,5156797.689397721,9.0,240979.92257392048,5156788.698367843,0.044635942249185115,0.9990033196438975,0.0,6710.0
217.0,240990.3139451863,5156797.243055521,9.0,240989.91222170647,5156788.252025643,0.04463594220376103,0.9990033196459271,0.0,6720.0
217.0,241000.3035929713,5156796.796713311,9.0,240999.90186949147,5156787.805683434,0.04463594220376103,0.9990033196459271,0.0,6730.0
217.0,241010.29324075766,5156796.3503711,9.0,241009.89151728578,5156787.359341223,0.04463594131968228,0.9990033196854282,0.0,6740.0
217.0,241020.28288854228,5156795.904028891,9.0,241019.88116506243,5156786.912999013,0.0446359422050587,0.9990033196458692,0.0,6750.0
217.0,241030.2725363273,5156795.457686681,9.0,241029.87081284745,5156786.466656804,0.0446359422050587,0.9990033196458692,0.0,6760.0
217.0,241040.26218411367,5156795.01134447,9.0,241039.8604606418,5156786.020314593,0.04463594131968228,0.9990033196854282,0.0,6770.0
217.0,241050.251831889,5156794.565002266,9.0,241049.8501083255,5156785.573972393,0.04463595149878983,0.9990033192306208,0.0,6780.0
217.0,241060.24147968332,5156794.118660061,9.0,241059.83975620347,5156785.1276301835,0.0446359422050587,0.9990033196458692,0.0,6790.0
217.0,241070.23112746875,5156793.672317851,9.0,241069.82940398852,5156784.681287974,0.044635942249185115,0.9990033196438975,0.0,6800.0
217.0,241080.2207752543,5156793.22597564,9.0,241079.81905177445,5156784.234945763,0.0446359422050587,0.9990033196458692,0.0,6810.0
