cat,x,y
126,324685.413954512,5000185.6523511
127,324640.709450286,5000164.50998088
128,324640.809447322,5000164.51075084
129,324300.907137859,5000312.70540773
130,324300.838545151,5000312.77817476
131,324256.159131664,5000334.59342778
132,324256.245759284,5000334.54347125
133,328925.307850406,5000270.61939669
134,328925.207908189,5000270.6227957
135,328900.540701755,5000271.88469962
136,328900.640000552,5000271.87287807
137,329523.196622405,5001590.00824101
138,329523.202014338,5001589.90838648
139,329517.069080378,5001540.63783599
140,329517.13320166,5001540.7145723
141,328614.032807555,5001304.35053028
142,328614.003063858,5001304.25505613
143,328599.033168701,5001257.10005925
144,328599.063363062,5001257.19539183
145,328664.831793002,5000537.09975008
146,328664.83270428,5000536.99975424
147,328663.300779344,5000487.76996295
148,328663.306333918,5000487.86980857
149,329538.357590864,5001862.86353048
150,329538.343098087,5001862.76458626
151,329537.204747772,5001837.95965235
152,329537.189636486,5001838.058504
153,325230.368021649,4984536.9055655
154,325230.268042945,4984536.90762916
155,325180.831517058,4984540.97662169
156,325180.929259367,4984540.95549254
157,327432.416341604,5002996.74684411
158,327432.354780287,5002996.66803926
159,327405.414374142,5002955.08769533
160,327405.464622017,5002955.17415429
161,329037.277545813,5003313.99216727
162,329037.30310242,5003313.89548811
163,329039.919495398,5003289.34786007
164,329039.912836282,5003289.4476381
165,324911.864695276,5001211.43202753
166,324911.764711622,5001211.43383553
167,324862.132701142,5001213.04613126
168,324862.231966202,5001213.03402969
169,324563.677074934,5001055.19891536
170,324563.633980517,5001055.1086775
171,324552.539425673,5001007.22071493
172,324552.560684655,5001007.31842908
173,325825.614455021,5001211.35644294
174,325825.549532948,5001211.28038293
175,325803.654109549,5001199.80142214
176,325803.753486574,5001199.79027733
177,327638.9547048,5002412.87944152
178,327638.982658471,5002412.78342802
179,327652.93730898,5002365.20360013
180,327652.898915201,5002365.29593602
181,327639.441261688,5002135.32975507
182,327639.424231039,5002135.23121595
183,327630.530540181,5002086.44805947
184,327630.537980136,5002086.54778232
185,324161.832629166,5000396.51437527
186,324161.795981804,5000396.60741812
187,324131.313297484,5000435.5405853
188,324131.358771268,5000435.45152277
189,324115.886899227,5000451.51905853
190,324115.824840706,5000451.59747243
191,324088.709450073,5000493.10591509
192,324088.754923858,5000493.01685256
193,324073.598707493,5000509.67187962
194,324073.509470164,5000509.71484516
195,324024.436382014,5000514.03790823
196,324024.532490956,5000514.01028449
197,327091.60067687,5000698.81809886
198,327091.50240655,5000698.79958011
199,327042.532729084,5000694.59107325
200,327042.628825084,5000694.61874198
201,324817.592601351,4997093.85818438
202,324817.546557111,4997093.76941542
203,324812.453055654,4997044.70292725
204,324812.456005946,4997044.80288372
205,324255.646782901,4996699.23247838
206,324255.54678364,4996699.23209402
207,324205.928304429,4996699.04138043
208,324206.02830369,4996699.04176479
209,325347.59315494,4995899.8443892
210,325347.493761711,4995899.85538857
211,325297.918568327,4995901.55247888
212,325298.018152685,4995901.56158688
213,324423.114645998,4995923.4644334
214,324423.015297436,4995923.45303764
215,324375.504764613,4995922.011316
216,324375.604399403,4995922.00277735
217,325568.941109905,4996311.87981885
218,325568.943341828,4996311.97979394
219,325568.494392038,4996336.67428402
220,325568.508656128,4996336.57530657
221,325006.931794363,4997099.15337049
222,325006.831795048,4997099.15374049
223,324977.639461626,4997100.61673112
224,324977.738429858,4997100.60240321
225,326043.401172266,4998259.85411331
226,326043.324040904,4998259.91775884
227,326019.844307242,4998267.57783837
228,326019.943649307,4998267.56638612
229,327687.735200871,5008069.49926835
230,327687.639082261,5008069.47167827
231,327656.702827775,5008031.43791406
232,327656.769525467,5008031.5124219
233,324502.64993102,5005246.99344534
234,324502.551786859,5005247.01262146
235,324456.600574121,5005228.58565381
236,324456.700449596,5005228.59064276
237,325150.758926471,4983540.95386867
238,325150.77201248,4983541.05300875
239,325154.079942085,4983590.55199622
240,325154.076789238,4983590.45204593
241,324923.203141385,4984156.29805666
242,324923.129891713,4984156.36613372
243,324885.659669907,4984188.99402229
244,324885.733195014,4984188.9262428
245,324248.052059927,4984734.2981991
246,324248.064505922,4984734.39742156
247,324250.003790577,4984783.79022925
248,324249.981719249,4984783.69269538
249,324050.027629803,4981473.9187314
250,324050.086080016,4981473.83759218
251,324056.661566323,4981426.51280043
252,324056.683207704,4981426.6104306
253,324054.108088662,4981420.07581341
254,324054.063215968,4981419.98644652
255,324026.212576467,4981379.16213294
256,324026.248514484,4981379.25545207
257,326950.226036217,4982912.13653122
258,326950.126398198,4982912.12803033
259,326901.780833932,4982913.87830614
260,326901.878592658,4982913.85725308
261,327462.69410039,4982581.85973231
262,327462.769873516,4982581.92498898
263,327472.304962874,4982604.72884027
264,327472.302306578,4982604.62887555
265,324163.429096824,4985161.91990246
266,324163.329098055,4985161.9194062
267,324113.816343846,4985163.60764408
268,324113.912266806,4985163.57938129
269,324048.12412622,4985160.56388931
